model,sampling,accuracy,precision,recall,f1_score,training_accuracy,validation_accuracy,gram
XGBoost,Under-Sampling,0.6264058679706601,0.6347017545271905,0.6264058679706601,0.6303623506936571,0.3333333333333333,0.6264058679706601,char_bigram
CatBoostC,Under-Sampling,0.5119804400977995,0.7012931523157435,0.5119804400977995,0.5733309891699646,0.4589371980676328,0.5119804400977995,char_bigram
MLPC-sgd,Under-Sampling,0.2024449877750611,0.6621240364270823,0.2024449877750611,0.2467421518515742,0.3864734299516907,0.2024449877750611,char_bigram
ExtraTreesClassifier,Under-Sampling,0.4933985330073349,0.7144449205645036,0.4933985330073349,0.5577858356038657,0.5144927536231885,0.4933985330073349,char_bigram
XGBoost,Over-Sampling,0.2938875305623472,0.6309468584679232,0.2938875305623472,0.2254910988164404,0.3344094700026903,0.2938875305623472,char_bigram
CatBoostC,Over-Sampling,0.6669926650366749,0.7481551692230886,0.6669926650366749,0.6970050768681457,0.7357546408393866,0.6669926650366749,char_bigram
MLPC-sgd,Over-Sampling,0.7726161369193154,0.780073910877911,0.7726161369193154,0.7761152173651298,0.8566585956416466,0.7726161369193154,char_bigram
ExtraTreesClassifier,Over-Sampling,0.7628361858190709,0.8063134639595191,0.7628361858190709,0.6746057809467082,0.9862254506322304,0.7628361858190709,char_bigram
XGBoost,SMOTE,0.2396088019559902,0.0574123779747849,0.2396088019559902,0.0926298327088246,0.3686306160882431,0.2396088019559902,char_bigram
CatBoostC,SMOTE,0.7735941320293398,0.7528107491638911,0.7735941320293398,0.7411515592040571,0.8174334140435836,0.7735941320293398,char_bigram
MLPC-sgd,SMOTE,0.776039119804401,0.7779083451197722,0.776039119804401,0.7768841825426179,0.8709712133440947,0.776039119804401,char_bigram
ExtraTreesClassifier,SMOTE,0.7799511002444988,0.7956635550575962,0.7799511002444988,0.7144830039226291,0.9640570352434756,0.7799511002444988,char_bigram
XGBoost,Under-Sampling,0.7437652811735941,0.5575501150476575,0.7437652811735941,0.637334222419797,0.3357487922705314,0.7437652811735941,char_trigram
CatBoostC,Under-Sampling,0.5266503667481662,0.6784295980459428,0.5266503667481662,0.5809084261817494,0.4855072463768116,0.5266503667481662,char_trigram
MLPC-sgd,Under-Sampling,0.5114914425427873,0.6981192263978314,0.5114914425427873,0.56881666496536,0.4106280193236715,0.5114914425427873,char_trigram
ExtraTreesClassifier,Under-Sampling,0.556479217603912,0.740135399322862,0.556479217603912,0.6139464031302234,0.533816425120773,0.556479217603912,char_trigram
XGBoost,Over-Sampling,0.2968215158924205,0.6583538870591151,0.2968215158924205,0.3057447151651328,0.3418348130212537,0.2968215158924205,char_trigram
CatBoostC,Over-Sampling,0.6963325183374083,0.753973885412959,0.6963325183374083,0.7193417392948225,0.7485068603712671,0.6963325183374083,char_trigram
MLPC-sgd,Over-Sampling,0.832762836185819,0.8285802939423141,0.832762836185819,0.8303986865798468,0.9494753833736884,0.832762836185819,char_trigram
ExtraTreesClassifier,Over-Sampling,0.8024449877750611,0.8251092212835346,0.8024449877750611,0.7510225224076662,0.986386871132634,0.8024449877750611,char_trigram
XGBoost,SMOTE,0.2396088019559902,0.0574123779747849,0.2396088019559902,0.0926298327088246,0.398923863330643,0.2396088019559902,char_trigram
CatBoostC,SMOTE,0.767237163814181,0.7453820528076922,0.767237163814181,0.749831730620505,0.8355663169222493,0.767237163814181,char_trigram
MLPC-sgd,SMOTE,0.8352078239608802,0.8331876566028675,0.8352078239608802,0.8341407203725756,0.9404896421845574,0.8352078239608802,char_trigram
ExtraTreesClassifier,SMOTE,0.79559902200489,0.8101592616492123,0.79559902200489,0.7426270168688798,0.959752488566048,0.79559902200489,char_trigram
XGBoost,Under-Sampling,0.6400977995110024,0.5871215502758061,0.6400977995110024,0.610624168789445,0.3719806763285024,0.6400977995110024,char_uni+char_tri
CatBoostC,Under-Sampling,0.5202933985330074,0.6954071506598201,0.5202933985330074,0.5789420190665412,0.4879227053140096,0.5202933985330074,char_uni+char_tri
MLPC-sgd,Under-Sampling,0.4356968215158924,0.6739252814384025,0.4356968215158924,0.5167196176640665,0.4057971014492754,0.4356968215158924,char_uni+char_tri
ExtraTreesClassifier,Under-Sampling,0.5677261613691932,0.7466939546285011,0.5677261613691932,0.6234122817232957,0.5652173913043478,0.5677261613691932,char_uni+char_tri
XGBoost,Over-Sampling,0.0195599022004889,0.7837063693019813,0.0195599022004889,0.0147678669635107,0.3403282216841539,0.0195599022004889,char_uni+char_tri
CatBoostC,Over-Sampling,0.6992665036674817,0.7588717427719135,0.6992665036674817,0.7222379983523248,0.7532956685499057,0.6992665036674817,char_uni+char_tri
MLPC-sgd,Over-Sampling,0.8283618581907091,0.8202322560693016,0.8283618581907091,0.8238097105427027,0.9495291902071564,0.8283618581907091,char_uni+char_tri
ExtraTreesClassifier,Over-Sampling,0.7975550122249389,0.8130472030199646,0.7975550122249389,0.7445224962018224,0.9868173258003766,0.7975550122249389,char_uni+char_tri
XGBoost,SMOTE,0.2337408312958435,0.058199512657259,0.2337408312958435,0.0931873249703133,0.4393866020984664,0.2337408312958435,char_uni+char_tri
CatBoostC,SMOTE,0.7726161369193154,0.7484608430347525,0.7726161369193154,0.7488497970840255,0.8409470002690341,0.7726161369193154,char_uni+char_tri
MLPC-sgd,SMOTE,0.8273838630806846,0.8209420578880833,0.8273838630806846,0.8237890028579609,0.940973903685768,0.8273838630806846,char_uni+char_tri
ExtraTreesClassifier,SMOTE,0.7970660146699267,0.8126595086967541,0.7970660146699267,0.7440900031427411,0.9607210115684692,0.7970660146699267,char_uni+char_tri
XGBoost,Under-Sampling,0.7447432762836186,0.5574622465122969,0.7447432762836186,0.6376355384833673,0.3623188405797101,0.7447432762836186,Word_bigram
CatBoostC,Under-Sampling,0.7383863080684596,0.7182721795030548,0.7383863080684596,0.6391073421502371,0.357487922705314,0.7383863080684596,Word_bigram
MLPC-sgd,Under-Sampling,0.0136919315403422,0.0001874689893054,0.0136919315403422,0.0003698736933232,0.3333333333333333,0.0136919315403422,Word_bigram
ExtraTreesClassifier,Under-Sampling,0.3095354523227384,0.6727032185641018,0.3095354523227384,0.2534120249048235,0.3913043478260869,0.3095354523227384,Word_bigram
XGBoost,Over-Sampling,0.2396088019559902,0.0574123779747849,0.2396088019559902,0.0926298327088246,0.3449018025289212,0.2396088019559902,Word_bigram
CatBoostC,Over-Sampling,0.2371638141809291,0.6181486862841096,0.2371638141809291,0.0989091665839693,0.6075329566854991,0.2371638141809291,Word_bigram
MLPC-sgd,Over-Sampling,0.7383863080684596,0.6230981692527701,0.7383863080684596,0.6440928476812778,0.664030131826742,0.7383863080684596,Word_bigram
ExtraTreesClassifier,Over-Sampling,0.7897310513447433,0.7858351199314055,0.7897310513447433,0.7393722747828305,0.9837503362927092,0.7897310513447433,Word_bigram
XGBoost,SMOTE,0.2400977995110024,0.8041397327259939,0.2400977995110024,0.0936437425576604,0.3900995426419154,0.2400977995110024,Word_bigram
CatBoostC,SMOTE,0.7506112469437652,0.7995415197371188,0.7506112469437652,0.6484315697478267,0.8844767285445251,0.7506112469437652,Word_bigram
MLPC-sgd,SMOTE,0.7452322738386308,0.6822035740789999,0.7452322738386308,0.6498933479503115,0.7736346516007533,0.7452322738386308,Word_bigram
ExtraTreesClassifier,SMOTE,0.7887530562347188,0.7842287144906595,0.7887530562347188,0.7387461571157363,0.9511433952111918,0.7887530562347188,Word_bigram
XGBoost,Under-Sampling,0.4102689486552567,0.6326681653246251,0.4102689486552567,0.4280388951475887,0.3695652173913044,0.4102689486552567,word_tri+char_tri
CatBoostC,Under-Sampling,0.5545232273838631,0.6947910642326474,0.5545232273838631,0.605369518144594,0.4879227053140096,0.5545232273838631,word_tri+char_tri
MLPC-sgd,Under-Sampling,0.5300733496332518,0.7261427094807171,0.5300733496332518,0.6065311265402523,0.4806763285024154,0.5300733496332518,word_tri+char_tri
ExtraTreesClassifier,Under-Sampling,0.5491442542787286,0.747378496008514,0.5491442542787286,0.6112365787596845,0.5386473429951691,0.5491442542787286,word_tri+char_tri
XGBoost,Over-Sampling,0.0220048899755501,0.8321424024011673,0.0220048899755501,0.0196209637802319,0.3527576002152273,0.0220048899755501,word_tri+char_tri
CatBoostC,Over-Sampling,0.7085574572127139,0.7643728054902549,0.7085574572127139,0.7307394895252735,0.749313962873285,0.7085574572127139,word_tri+char_tri
MLPC-sgd,Over-Sampling,0.8366748166259169,0.8320275601711585,0.8366748166259169,0.8340288412594014,0.9533494753833738,0.8366748166259169,word_tri+char_tri
ExtraTreesClassifier,Over-Sampling,0.789242053789731,0.8176749955061983,0.789242053789731,0.7284874608985384,0.9867635189669088,0.789242053789731,word_tri+char_tri
XGBoost,SMOTE,0.2366748166259168,0.0582408252137843,0.2366748166259168,0.0932624830209182,0.4792574656981436,0.2366748166259168,word_tri+char_tri
CatBoostC,SMOTE,0.7750611246943765,0.7501122442982812,0.7750611246943765,0.7504386915824807,0.8392789884315307,0.7750611246943765,word_tri+char_tri
MLPC-sgd,SMOTE,0.8366748166259169,0.830694918498291,0.8366748166259169,0.833306726716856,0.9483454398708636,0.8366748166259169,word_tri+char_tri
ExtraTreesClassifier,SMOTE,0.7867970660146699,0.8155873610708242,0.7867970660146699,0.7238500112549312,0.9601291364003228,0.7867970660146699,word_tri+char_tri
XGBoost,Under-Sampling,0.0136919315403422,0.0001874689893054,0.0136919315403422,0.0003698736933232,0.3285024154589371,0.0136919315403422,word_uni+word_bi+char_bi+char_tri
CatBoostC,Under-Sampling,0.4977995110024449,0.69280455043867,0.4977995110024449,0.5567203737246547,0.4371980676328502,0.4977995110024449,word_uni+word_bi+char_bi+char_tri
MLPC-sgd,Under-Sampling,0.4963325183374083,0.6773985151234119,0.4963325183374083,0.5658100095215349,0.4830917874396135,0.4963325183374083,word_uni+word_bi+char_bi+char_tri
ExtraTreesClassifier,Under-Sampling,0.6019559902200489,0.7526797826663255,0.6019559902200489,0.6533982546175323,0.5603864734299517,0.6019559902200489,word_uni+word_bi+char_bi+char_tri
XGBoost,Over-Sampling,0.0738386308068459,0.5590891862039353,0.0738386308068459,0.1104680008518282,0.3559860102232983,0.0738386308068459,word_uni+word_bi+char_bi+char_tri
CatBoostC,Over-Sampling,0.7012224938875306,0.7619246811117365,0.7012224938875306,0.7249652562645343,0.7583535108958838,0.7012224938875306,word_uni+word_bi+char_bi+char_tri
MLPC-sgd,Over-Sampling,0.8420537897310514,0.837977812944816,0.8420537897310514,0.8398772181999302,0.9549098735539412,0.8420537897310514,word_uni+word_bi+char_bi+char_tri
ExtraTreesClassifier,Over-Sampling,0.7833740831295843,0.8107393367212573,0.7833740831295843,0.7177808334228963,0.9866020984665052,0.7833740831295843,word_uni+word_bi+char_bi+char_tri
XGBoost,SMOTE,0.2009779951100244,0.5930430834219854,0.2009779951100244,0.2399768095458713,0.3421038471885929,0.2009779951100244,word_uni+word_bi+char_bi+char_tri
CatBoostC,SMOTE,0.78239608801956,0.7639352682392094,0.78239608801956,0.7613290224414989,0.8441216034436373,0.78239608801956,word_uni+word_bi+char_bi+char_tri
MLPC-sgd,SMOTE,0.8469437652811735,0.8437840595842998,0.8469437652811735,0.8452462622973984,0.9498520312079636,0.8469437652811735,word_uni+word_bi+char_bi+char_tri
ExtraTreesClassifier,SMOTE,0.7907090464547677,0.8066973414488265,0.7907090464547677,0.733048315750241,0.9628732849071832,0.7907090464547677,word_uni+word_bi+char_bi+char_tri
XGBoost,Under-Sampling,0.2396088019559902,0.6010213048009339,0.2396088019559902,0.1006634212143832,0.357487922705314,0.2396088019559902,word_uni+word_bi+char_tri
CatBoostC,Under-Sampling,0.5246943765281173,0.697460324720474,0.5246943765281173,0.5850971267318494,0.4613526570048309,0.5246943765281173,word_uni+word_bi+char_tri
MLPC-sgd,Under-Sampling,0.4924205378973105,0.6964274470421332,0.4924205378973105,0.5582339864481477,0.5048309178743962,0.4924205378973105,word_uni+word_bi+char_tri
ExtraTreesClassifier,Under-Sampling,0.5691931540342299,0.756086457759344,0.5691931540342299,0.6261420613838502,0.5434782608695653,0.5691931540342299,word_uni+word_bi+char_tri
XGBoost,Over-Sampling,0.2444987775061124,0.5457468467360217,0.2444987775061124,0.1088584016700886,0.3620661824051654,0.2444987775061124,word_uni+word_bi+char_tri
CatBoostC,Over-Sampling,0.7178484107579463,0.7683158388263848,0.7178484107579463,0.7378813887877547,0.7563626580575734,0.7178484107579463,word_uni+word_bi+char_tri
MLPC-sgd,Over-Sampling,0.8381418092909535,0.8389920793674207,0.8381418092909535,0.8384964609802923,0.9513586225450632,0.8381418092909535,word_uni+word_bi+char_tri
ExtraTreesClassifier,Over-Sampling,0.7882640586797066,0.8143835519307563,0.7882640586797066,0.7261293406259197,0.986279257465698,0.7882640586797066,word_uni+word_bi+char_tri
XGBoost,SMOTE,0.3579462102689486,0.6624535910948148,0.3579462102689486,0.361458297753706,0.3792843691148775,0.3579462102689486,word_uni+word_bi+char_tri
CatBoostC,SMOTE,0.7877750611246944,0.7735558230366292,0.7877750611246944,0.7649803870163941,0.8362658057573312,0.7877750611246944,word_uni+word_bi+char_tri
MLPC-sgd,SMOTE,0.8381418092909535,0.8394583973927293,0.8381418092909535,0.8387471869942711,0.9442561205273068,0.8381418092909535,word_uni+word_bi+char_tri
ExtraTreesClassifier,SMOTE,0.7951100244498778,0.8159438172725928,0.7951100244498778,0.739746258991426,0.9653483992467043,0.7951100244498778,word_uni+word_bi+char_tri
XGBoost,Under-Sampling,0.5095354523227383,0.6575901117758006,0.5095354523227383,0.5646169098292118,0.3695652173913044,0.5095354523227383,Word_Unigram
CatBoostC,Under-Sampling,0.6440097799511002,0.7080178858853468,0.6440097799511002,0.6674804861339697,0.4782608695652173,0.6440097799511002,Word_Unigram
MLPC-sgd,Under-Sampling,0.7466992665036675,0.557559794597115,0.7466992665036675,0.6384153303197649,0.3333333333333333,0.7466992665036675,Word_Unigram
ExtraTreesClassifier,Under-Sampling,0.6332518337408313,0.7261700861211683,0.6332518337408313,0.6652686178056041,0.4782608695652173,0.6332518337408313,Word_Unigram
XGBoost,Over-Sampling,0.6381418092909535,0.7184951030066614,0.6381418092909535,0.6588627681405055,0.4382566585956416,0.6381418092909535,Word_Unigram
CatBoostC,Over-Sampling,0.6581907090464547,0.727098286516982,0.6581907090464547,0.6823021112184453,0.6886736615550175,0.6581907090464547,Word_Unigram
MLPC-sgd,Over-Sampling,0.8019559902200489,0.7874559613439057,0.8019559902200489,0.7918328320509477,0.9390368576809256,0.8019559902200489,Word_Unigram
ExtraTreesClassifier,Over-Sampling,0.8273838630806846,0.8211581691741373,0.8273838630806846,0.7955818168049512,0.9839117567931128,0.8273838630806846,Word_Unigram
XGBoost,SMOTE,0.6205378973105135,0.6508394808079272,0.6205378973105135,0.6090517132553599,0.455044390637611,0.6205378973105135,Word_Unigram
CatBoostC,SMOTE,0.7403422982885085,0.7170896335321763,0.7403422982885085,0.7249969379249598,0.8239978477266613,0.7403422982885085,Word_Unigram
MLPC-sgd,SMOTE,0.8058679706601467,0.791429485059973,0.8058679706601467,0.7953933164260065,0.933871401668012,0.8058679706601467,Word_Unigram
ExtraTreesClassifier,SMOTE,0.8273838630806846,0.8228334102571414,0.8273838630806846,0.7993982645123894,0.9652407855797686,0.8273838630806846,Word_Unigram
